FIPS,CountyState,Lon,Lat,AnyHL_crd_rate,TPUF_demog_age_65plus,INS_PUB_va_health_care_coverage_alone_or_in_combination,TPUF_demog_urbanicity,TPUF_demog_race_eth_black,VET_male_ratio,TPUF_road_density,HH_average_family_size,TPUF_demog_race_eth_asian,HH_renter_occupied_housing_units,INS_PUB_below_138_percent_of_the_poverty_threshold,VET_vietnam_era_veterans,OI_natural_resources_construction_and_maintenance_occupations,EDU_high_school_graduate_includes_equivalency,VET_gulf_war_9_2001_or_later_veterans,HH_householder_living_alone,OI_professional_scientific_and_management_and_administrative_and_waste_management_services,TPUF_drive_distance_miles,INS_PRIV_direct_purchase_health_insurance_alone_or_in_combination,INS_PRIV_below_138_percent_of_the_poverty_threshold,TPUF_percent_below_highschool,VET_x18_to_34_years,OI_unemployment_rate,TPUF_demog_race_eth_hispanic,UNINS_native_born,TPUF_sex_ratio
1001,"Autauga County, Alabama",-86.64289976,32.53514228,0.137539999999717,0.14,0.032,0.58,0.184,0.232746407609796,1242.54742260449,3.09,0.008,0.267,0.64,31.9,0.078,0.336,37.7,0.256,0.096,12.1907628213615,0.122,0.306,10.4,12.9,0.037,0.026,0.07,89.7379528666901
1003,"Baldwin County, Alabama",-87.72274477,30.72782468,0.14766999999847,0.187,0.031,0.577,0.092,0.226961281675498,1793.1279939545,3.24,0.007,0.248,0.61,42.5,0.093,0.277,19.0,0.296,0.103,19.9364189148655,0.185,0.32,9.0,6.2,0.043,0.044,0.081,90.6200076074553
1005,"Barbour County, Alabama",-85.39106787,31.87009042,0.151279999998224,0.165,0.037,0.322,0.479,0.113661710037175,1357.20876269897,3.01,0.004,0.391,0.704,48.5,0.141,0.356,15.7,0.319,0.061,32.3871768336663,0.152,0.199,24.3,7.5,0.092,0.043,0.102,86.2329141607436
1007,"Bibb County, Alabama",-87.12681433,32.99837607,0.139229999998861,0.149,0.03,0.316,0.212,0.143919555881429,1230.31357972229,3.74,0.001,0.256,0.577,36.4,0.168,0.449,17.1,0.285,0.053,30.5638466335167,0.122,0.301,19.5,5.0,0.073,0.022,0.098,107.527153321546
1009,"Blount County, Alabama",-86.5670064,33.98087061,0.144799999998213,0.172,0.022,0.1,0.016,0.144843194309732,1286.80566334256,3.33,0.002,0.212,0.517,36.3,0.162,0.334,19.3,0.262,0.071,12.6973774932631,0.126,0.343,16.4,5.7,0.034,0.087,0.095,97.8514588859416
1011,"Bullock County, Alabama",-85.71572943,32.10045868,0.0967499999997017,0.151,0.017,0.486,0.755,0.053125,1027.11741516835,3.3,0.008,0.289,0.743,41.2,0.125,0.403,16.5,0.258,0.028,24.4682810139461,0.074,0.23,22.4,3.4,0.039,0.001,0.114,115.661641541039
1013,"Butler County, Alabama",-86.68040924,31.75252432,0.133569999999963,0.181,0.022,0.288,0.435,0.135040745052387,1365.50900872227,3.78,0.01,0.3,0.584,44.0,0.102,0.452,14.4,0.307,0.062,13.9359433531487,0.146,0.425,14.4,2.6,0.068,0.013,0.087,82.0762976860538
1015,"Calhoun County, Alabama",-85.82574705,33.77141549,0.155119999999442,0.159,0.037,0.663,0.203,0.210582921058292,2572.19223944363,3.03,0.009,0.299,0.635,41.8,0.104,0.328,19.0,0.281,0.073,12.3074375878544,0.143,0.314,14.8,8.1,0.081,0.034,0.09,89.145783716568
1017,"Chambers County, Alabama",-85.39168915,32.91366622,0.147149999998874,0.184,0.03,0.509,0.405,0.146616840263974,1527.69299849324,3.1,0.009,0.325,0.621,48.6,0.105,0.367,21.3,0.305,0.095,21.8061087716298,0.136,0.281,17.2,13.4,0.039,0.004,0.103,90.4248617624414
1019,"Cherokee County, Alabama",-85.60387066,34.17588713,0.16352999999981,0.203,0.023,0.143,0.046,0.17721145331103,1646.08144319874,2.94,0.003,0.227,0.662,47.1,0.14,0.403,8.2,0.284,0.042,11.7635733188919,0.142,0.312,20.2,4.5,0.044,0.016,0.085,97.8509601034723
1021,"Chilton County, Alabama",-86.71887934,32.84771004,0.143599999999424,0.152,0.025,0.133,0.1,0.141578167448753,1425.84160431583,3.06,0.004,0.255,0.596,39.4,0.19,0.444,14.3,0.256,0.054,22.1325236452549,0.147,0.277,18.2,8.2,0.064,0.076,0.114,94.4598018889657
1023,"Choctaw County, Alabama",-88.26305322,32.02019311,0.173199999999269,0.208,0.03,0.0,0.422,0.17510460251046,854.399901884498,3.07,0.0,0.191,0.67,33.3,0.16,0.377,13.9,0.326,0.041,35.3780745467123,0.172,0.255,19.4,8.1,0.079,0.006,0.104,87.497677874791
1025,"Clarke County, Alabama",-87.83077181,31.67695451,0.139059999999517,0.181,0.027,0.24,0.455,0.117539237026005,751.088954422929,3.46,0.005,0.299,0.651,36.1,0.165,0.418,20.2,0.361,0.041,28.9337391877329,0.164,0.277,17.8,4.9,0.122,0.002,0.097,87.9815261887268
