FIPS,CountyState,Lon,Lat,AnyHL_crd_rate,TPUF_demog_age_65plus,INS_PUB_va_health_care_coverage_alone_or_in_combination,TPUF_demog_urbanicity,TPUF_demog_race_eth_black,VET_male_ratio,TPUF_road_density,HH_average_family_size,TPUF_demog_race_eth_asian,HH_renter_occupied_housing_units,INS_PUB_below_138_percent_of_the_poverty_threshold,VET_vietnam_era_veterans,OI_natural_resources_construction_and_maintenance_occupations,EDU_high_school_graduate_includes_equivalency,VET_gulf_war_9_2001_or_later_veterans,HH_householder_living_alone,OI_professional_scientific_and_management_and_administrative_and_waste_management_services,TPUF_drive_distance_miles,INS_PRIV_direct_purchase_health_insurance_alone_or_in_combination,INS_PRIV_below_138_percent_of_the_poverty_threshold,TPUF_percent_below_highschool,VET_x18_to_34_years,OI_unemployment_rate,TPUF_demog_race_eth_hispanic,UNINS_native_born,TPUF_sex_ratio,CountyState_right,MildHL_crd_rate_AGEALL,ModSev_crd_rate_AGEALL,AnyHL_crd_rate_AGEALL,AnyHL_ageadj_allages,MildHL_ageadj_allages,ModSev_ageadj_allages
01001,"Autauga County, Alabama",-86.64289976,32.53514228,0.137539999999717,0.14,0.032,0.58,0.184,0.232746407609796,1242.54742260449,3.09,0.008,0.267,0.64,31.9,0.078,0.336,37.7,0.256,0.096,12.1907628213615,0.122,0.306,10.4,12.9,0.037,0.026,0.07,89.7379528666901,"Autauga County, Alabama",0.0936299999993935,0.0438999999996668,0.137539999999717,0.1256473677961216,0.0852977007289684,0.0403479587167568
01003,"Baldwin County, Alabama",-87.72274477,30.72782468,0.14766999999847,0.187,0.031,0.577,0.092,0.226961281675498,1793.1279939545,3.24,0.007,0.248,0.61,42.5,0.093,0.277,19.0,0.296,0.103,19.9364189148655,0.185,0.32,9.0,6.2,0.043,0.044,0.081,90.6200076074553,"Baldwin County, Alabama",0.0961799999995492,0.0514899999998306,0.14766999999847,0.1109128330383744,0.0729249599737847,0.0379860974285552
01005,"Barbour County, Alabama",-85.39106787,31.87009042,0.151279999998224,0.165,0.037,0.322,0.479,0.113661710037175,1357.20876269897,3.01,0.004,0.391,0.704,48.5,0.141,0.356,15.7,0.319,0.061,32.3871768336663,0.152,0.199,24.3,7.5,0.092,0.043,0.102,86.2329141607436,"Barbour County, Alabama",0.101639999999861,0.0496399999997266,0.151279999998224,0.1238102220781098,0.0837609359577469,0.0400492861202297
01007,"Bibb County, Alabama",-87.12681433,32.99837607,0.139229999998861,0.149,0.03,0.316,0.212,0.143919555881429,1230.31357972229,3.74,0.001,0.256,0.577,36.4,0.168,0.449,17.1,0.285,0.053,30.5638466335167,0.122,0.301,19.5,5.0,0.073,0.022,0.098,107.527153321546,"Bibb County, Alabama",0.0959299999994982,0.0433099999995648,0.139229999998861,0.1231037793408622,0.0848283981836826,0.0382753811570071
01009,"Blount County, Alabama",-86.5670064,33.98087061,0.144799999998213,0.172,0.022,0.1,0.016,0.144843194309732,1286.80566334256,3.33,0.002,0.212,0.517,36.3,0.162,0.334,19.3,0.262,0.071,12.6973774932631,0.126,0.343,16.4,5.7,0.034,0.087,0.095,97.8514588859416,"Blount County, Alabama",0.0958099999998012,0.048989999999776,0.144799999998213,0.1153199818996623,0.0766756906215096,0.0386387928584454
01011,"Bullock County, Alabama",-85.71572943,32.10045868,0.0967499999997017,0.151,0.017,0.486,0.755,0.053125,1027.11741516835,3.3,0.008,0.289,0.743,41.2,0.125,0.403,16.5,0.258,0.028,24.4682810139461,0.074,0.23,22.4,3.4,0.039,0.001,0.114,115.661641541039,"Bullock County, Alabama",0.0658899999998539,0.0308599999998478,0.0967499999997017,0.0859214291432967,0.057937930245311,0.0278688364618707
01013,"Butler County, Alabama",-86.68040924,31.75252432,0.133569999999963,0.181,0.022,0.288,0.435,0.135040745052387,1365.50900872227,3.78,0.01,0.3,0.584,44.0,0.102,0.452,14.4,0.307,0.062,13.9359433531487,0.146,0.425,14.4,2.6,0.068,0.013,0.087,82.0762976860538,"Butler County, Alabama",0.0879499999991822,0.0456199999998717,0.133569999999963,0.1040403412926713,0.0695290860612191,0.0344612420984
01015,"Calhoun County, Alabama",-85.82574705,33.77141549,0.155119999999442,0.159,0.037,0.663,0.203,0.210582921058292,2572.19223944363,3.03,0.009,0.299,0.635,41.8,0.104,0.328,19.0,0.281,0.073,12.3074375878544,0.143,0.314,14.8,8.1,0.081,0.034,0.09,89.145783716568,"Calhoun County, Alabama",0.106219999999666,0.048909999999978,0.155119999999442,0.1340922610283779,0.0925462184998164,0.0415460425286594
01017,"Chambers County, Alabama",-85.39168915,32.91366622,0.147149999998874,0.184,0.03,0.509,0.405,0.146616840263974,1527.69299849324,3.1,0.009,0.325,0.621,48.6,0.105,0.367,21.3,0.305,0.095,21.8061087716298,0.136,0.281,17.2,13.4,0.039,0.004,0.103,90.4248617624414,"Chambers County, Alabama",0.098679999999149,0.0484699999997247,0.147149999998874,0.1141584065971118,0.0769210853957729,0.0372373212010962
01019,"Cherokee County, Alabama",-85.60387066,34.17588713,0.16352999999981,0.203,0.023,0.143,0.046,0.17721145331103,1646.08144319874,2.94,0.003,0.227,0.662,47.1,0.14,0.403,8.2,0.284,0.042,11.7635733188919,0.142,0.312,20.2,4.5,0.044,0.016,0.085,97.8509601034723,"Cherokee County, Alabama",0.108419999999569,0.0551099999997859,0.16352999999981,0.1157968879620557,0.0784405359987703,0.0373519015233573
01021,"Chilton County, Alabama",-86.71887934,32.84771004,0.143599999999424,0.152,0.025,0.133,0.1,0.141578167448753,1425.84160431583,3.06,0.004,0.255,0.596,39.4,0.19,0.444,14.3,0.256,0.054,22.1325236452549,0.147,0.277,18.2,8.2,0.064,0.076,0.114,94.4598018889657,"Chilton County, Alabama",0.0971199999994496,0.0464799999999741,0.143599999999424,0.1281734935743226,0.0869535124101028,0.0412199811642002
01023,"Choctaw County, Alabama",-88.26305322,32.02019311,0.173199999999269,0.208,0.03,0.0,0.422,0.17510460251046,854.399901884498,3.07,0.0,0.191,0.67,33.3,0.16,0.377,13.9,0.326,0.041,35.3780745467123,0.172,0.255,19.4,8.1,0.079,0.006,0.104,87.497677874791,"Choctaw County, Alabama",0.117379999999685,0.055819999999585,0.173199999999269,0.1253480834495451,0.0871803996290155,0.038065535811673
01025,"Clarke County, Alabama",-87.83077181,31.67695451,0.139059999999517,0.181,0.027,0.24,0.455,0.117539237026005,751.088954422929,3.46,0.005,0.299,0.651,36.1,0.165,0.418,20.2,0.361,0.041,28.9337391877329,0.164,0.277,17.8,4.9,0.122,0.002,0.097,87.9815261887268,"Clarke County, Alabama",0.0909199999996417,0.0481499999996231,0.139059999999517,0.1053745540183695,0.0702674454503996,0.0351605795988597
01027,"Clay County, Alabama",-85.8607443,33.26966941,0.196649999999863,0.194,0.021,0.0,0.147,0.119768832204065,1081.98650964283,3.04,0.0,0.245,0.672,56.0,0.104,0.378,13.1,0.259,0.045,19.1747305253492,0.141,0.195,17.0,4.4,0.054,0.031,0.093,94.7940809413443,"Clay County, Alabama",0.133629999998448,0.0630199999995966,0.196649999999863,0.1549821668729668,0.1080836405461348,0.0468102402496637
01029,"Cleburne County, Alabama",-85.51786948,33.67495934,0.202039999998306,0.182,0.022,0.0,0.024,0.114198637504482,1462.62781429264,3.21,0.006,0.239,0.615,43.9,0.151,0.38,14.2,0.292,0.051,11.8333005015475,0.133,0.295,16.9,12.3,0.059,0.023,0.118,93.809201623816,"Cleburne County, Alabama",0.138459999998304,0.0635799999990923,0.202039999998306,0.163694669606644,0.1144384316879527,0.0492494187582137
01031,"Coffee County, Alabama",-85.98828821,31.40188396,0.155329999999594,0.158,0.048,0.528,0.17,0.299283746556474,2172.25185026844,3.12,0.012,0.343,0.584,29.0,0.127,0.272,39.2,0.274,0.066,13.0287105758334,0.117,0.318,13.6,8.7,0.057,0.066,0.091,88.6817511067388,"Coffee County, Alabama",0.105429999999615,0.0498999999999796,0.155329999999594,0.1347349991914836,0.092060954037791,0.0426740451533462
01033,"Colbert County, Alabama",-87.80463371,34.70085284,0.148959999998624,0.184,0.03,0.561,0.156,0.176887838037535,1690.00845148528,3.06,0.004,0.278,0.639,33.3,0.109,0.378,17.2,0.284,0.071,16.3632224021403,0.146,0.31,13.2,9.3,0.044,0.024,0.069,90.8640805958583,"Colbert County, Alabama",0.0983799999994517,0.050579999999627,0.148959999998624,0.1140017395821034,0.0766726550590802,0.0373329314630168
01035,"Conecuh County, Alabama",-86.9938237,31.42899352,0.139529999998558,0.203,0.03,0.191,0.462,0.0973298880275624,1197.97828782906,3.41,0.001,0.239,0.554,44.3,0.095,0.511,5.6,0.33,0.026,28.9554441651569,0.148,0.354,12.4,1.7,0.092,0.018,0.128,89.9202617051728,"Conecuh County, Alabama",0.0900599999995393,0.0494599999997263,0.139529999998558,0.1026254826326379,0.0674287712224723,0.0351998979801045
01037,"Coosa County, Alabama",-86.24789409,32.9362956,0.21063999999933,0.187,0.046,0.0,0.324,0.18273769386379,1016.4903969727,3.26,0.0,0.208,0.672,30.4,0.135,0.403,18.6,0.321,0.041,24.2191624203717,0.175,0.293,14.9,5.5,0.029,0.013,0.08,92.5352438178877,"Coosa County, Alabama",0.145149999998466,0.0654799999992974,0.21063999999933,0.1489740044885439,0.1049768587666561,0.0439971457221478
01039,"Covington County, Alabama",-86.45142629,31.24861005,0.165549999999712,0.202,0.03,0.303,0.13,0.192092448579112,1475.12055276357,3.0,0.005,0.255,0.62,43.8,0.149,0.373,12.7,0.287,0.091,16.0512877410866,0.129,0.252,14.8,5.6,0.084,0.015,0.112,89.4601202669662,"Covington County, Alabama",0.107269999999517,0.0582699999999932,0.165549999999712,0.1187602132079563,0.0789357865964424,0.0398556691398425
