FIPS,MildHL_crd_rate,ModSev_crd_rate,CountyState,audiologists_per_10k,HighRiskOccupation,Population,Demog_age_0_14,Demog_age_15_64,Demog_age_65plus,Demog_urbanicity,Abs_audiologists,Abs_audiologists_not_rounded
1001,0.0936299999993935,0.0438999999996668,"Autauga County, Alabama",0.358,0.183,55049,0.204,0.656,0.14,0.58,2,1.9707541999999998
1003,0.0961799999995492,0.0514899999998306,"Baldwin County, Alabama",0.851,0.112,199510,0.183,0.63,0.187,0.577,17,16.978301
1005,0.101639999999861,0.0496399999997266,"Barbour County, Alabama",0.0,0.309,26614,0.179,0.655,0.165,0.322,0,0.0
1007,0.0959299999994982,0.0433099999995648,"Bibb County, Alabama",0.0,0.269,22572,0.17,0.681,0.149,0.316,0,0.0
1009,0.0958099999998012,0.048989999999776,"Blount County, Alabama",0.346,0.217,57704,0.194,0.634,0.172,0.1,2,1.9965584
1011,0.0658899999998539,0.0308599999998478,"Bullock County, Alabama",0.0,0.263,10552,0.18,0.669,0.151,0.486,0,0.0
1013,0.0879499999991822,0.0456199999998717,"Butler County, Alabama",0.514,0.223,20280,0.192,0.627,0.181,0.288,1,1.042392
1015,0.106219999999666,0.048909999999978,"Calhoun County, Alabama",0.352,0.173,115883,0.181,0.659,0.159,0.663,4,4.079081599999999
1017,0.098679999999149,0.0484699999997247,"Chambers County, Alabama",0.0,0.278,34018,0.176,0.64,0.184,0.509,0,0.0
1019,0.108419999999569,0.0551099999997859,"Cherokee County, Alabama",0.382,0.195,25897,0.168,0.629,0.203,0.143,1,0.9892654
1021,0.0971199999994496,0.0464799999999741,"Chilton County, Alabama",0.0,0.267,43817,0.201,0.647,0.152,0.133,0,0.0
1023,0.117379999999685,0.055819999999585,"Choctaw County, Alabama",0.0,0.0,13287,0.168,0.625,0.208,0.0,0,0.0
1025,0.0909199999996417,0.0481499999996231,"Clarke County, Alabama",0.0,0.254,24847,0.181,0.638,0.181,0.24,0,0.0
1027,0.133629999998448,0.0630199999995966,"Clay County, Alabama",0.0,0.55,13483,0.174,0.632,0.194,0.0,0,0.0
1029,0.138459999998304,0.0635799999990923,"Cleburne County, Alabama",0.671,0.262,14991,0.197,0.622,0.182,0.0,1,1.0058961
1031,0.105429999999615,0.0498999999999796,"Coffee County, Alabama",0.382,0.21,50991,0.195,0.647,0.158,0.528,2,1.9478562
1033,0.0983799999994517,0.050579999999627,"Colbert County, Alabama",0.0,0.317,54377,0.177,0.639,0.184,0.561,0,0.0
1035,0.0900599999995393,0.0494599999997263,"Conecuh County, Alabama",0.0,0.179,12697,0.184,0.613,0.203,0.191,0,0.0
1037,0.145149999998466,0.0654799999992974,"Coosa County, Alabama",0.0,0.395,10864,0.147,0.666,0.187,0.0,0,0.0
1039,0.107269999999517,0.0582699999999932,"Covington County, Alabama",0.27,0.223,37729,0.182,0.616,0.202,0.303,1,1.018683
1041,0.104009999999107,0.0484599999999773,"Crenshaw County, Alabama",0.0,0.287,13896,0.189,0.636,0.175,0.0,0,0.0
