FIPS,CountyState,Lon,Lat,AnyHL_crd_rate,TPUF_demog_age_15_64,TPUF_demog_race_eth_black,TPUF_demog_urbanicity,TPUF_demog_age_0_14,HH_average_family_size,TPUF_demog_race_eth_asian,TPUF_road_density,OI_natural_resources_construction_and_maintenance_occupations,EDU_high_school_graduate_includes_equivalency,HH_householder_living_alone,OI_professional_scientific_and_management_and_administrative_and_waste_management_services,VET_x18_to_34_years,TPUF_drive_distance_miles,TPUF_sex_ratio,INS_PRIV_below_138_percent_of_the_poverty_threshold,INS_PRIV_x65_years_and_over_4,OI_public_transportation_excluding_taxicab
01001,"Autauga County, Alabama",-86.64289976,32.53514228,0.137539999999717,0.656,0.184,0.58,0.204,3.09,0.008,1242.54742260449,0.078,0.336,0.256,0.096,12.9,12.1907628213615,89.7379528666901,0.306,0.262,0.007
01003,"Baldwin County, Alabama",-87.72274477,30.72782468,0.14766999999847,0.63,0.092,0.577,0.183,3.24,0.007,1793.1279939545,0.093,0.277,0.296,0.103,6.2,19.9364189148655,90.6200076074553,0.32,0.325,0.0
01005,"Barbour County, Alabama",-85.39106787,31.87009042,0.151279999998224,0.655,0.479,0.322,0.179,3.01,0.004,1357.20876269897,0.141,0.356,0.319,0.061,7.5,32.3871768336663,86.2329141607436,0.199,0.35,0.003
01007,"Bibb County, Alabama",-87.12681433,32.99837607,0.139229999998861,0.681,0.212,0.316,0.17,3.74,0.001,1230.31357972229,0.168,0.449,0.285,0.053,5.0,30.5638466335167,107.527153321546,0.301,0.188,0.0
01009,"Blount County, Alabama",-86.5670064,33.98087061,0.144799999998213,0.634,0.016,0.1,0.194,3.33,0.002,1286.80566334256,0.162,0.334,0.262,0.071,5.7,12.6973774932631,97.8514588859416,0.343,0.255,0.001
01011,"Bullock County, Alabama",-85.71572943,32.10045868,0.0967499999997017,0.669,0.755,0.486,0.18,3.3,0.008,1027.11741516835,0.125,0.403,0.258,0.028,3.4,24.4682810139461,115.661641541039,0.23,0.158,0.0
01013,"Butler County, Alabama",-86.68040924,31.75252432,0.133569999999963,0.627,0.435,0.288,0.192,3.78,0.01,1365.50900872227,0.102,0.452,0.307,0.062,2.6,13.9359433531487,82.0762976860538,0.425,0.238,0.002
01015,"Calhoun County, Alabama",-85.82574705,33.77141549,0.155119999999442,0.659,0.203,0.663,0.181,3.03,0.009,2572.19223944363,0.104,0.328,0.281,0.073,8.1,12.3074375878544,89.145783716568,0.314,0.328,0.004
01017,"Chambers County, Alabama",-85.39168915,32.91366622,0.147149999998874,0.64,0.405,0.509,0.176,3.1,0.009,1527.69299849324,0.105,0.367,0.305,0.095,13.4,21.8061087716298,90.4248617624414,0.281,0.333,0.003
01019,"Cherokee County, Alabama",-85.60387066,34.17588713,0.16352999999981,0.629,0.046,0.143,0.168,2.94,0.003,1646.08144319874,0.14,0.403,0.284,0.042,4.5,11.7635733188919,97.8509601034723,0.312,0.373,0.002
